Time (ns),Atom id,Diffusion Coefficient (cm²/s)
970.0,108,0.130832
970.0,130,0.0517991
970.0,168,0.00541358
970.0,172,0.106869
970.0,209,0.253744
970.0,211,0.137863
970.0,233,0.214491
970.0,236,0.324365
970.0,261,0.144954
970.0,262,0.252235
980.0,19,0.16072
980.0,27,0.176745
980.0,78,0.259706
980.0,86,0.13637
980.0,90,0.269594
980.0,95,0.226348
980.0,99,0.218367
980.0,164,0.124398
980.0,205,0.21871
990.0,25,0.205873
990.0,33,0.325576
990.0,42,0.294888
990.0,46,0.00140076
990.0,97,0.000680978
990.0,110,0.282278
990.0,146,0.255109
990.0,153,0.298666
990.0,157,0.187536
990.0,168,0.00300464
990.0,235,0.0406686
990.0,237,0.233697
990.0,248,0.295186
990.0,273,0.205939
1000.0,16,0.16359
1000.0,18,0.135134
1000.0,31,0.232048
1000.0,53,0.0546105
1000.0,97,0.000568706
1000.0,108,0.151992
1000.0,149,0.300628
1000.0,163,0.0790678
1000.0,177,0.316271
1000.0,234,0.126838
1000.0,235,0.268669
1000.0,266,0.264318
